time,price,instrument
61355.515,0.0,future
61355.515,0.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57150.0,etf
61355.609,58050.0,future
61355.609,57650.0,etf
61355.609,58050.0,future
61355.609,57650.0,etf
61355.64,57900.0,future
61355.64,57650.0,etf
61355.671,57850.0,future
61355.671,57500.0,etf
61355.703,57950.0,future
61355.703,57450.0,etf
61355.703,57950.0,future
61355.703,57750.0,etf
61355.703,57950.0,future
61355.703,57550.0,etf
61355.718,57850.0,future
61355.718,57550.0,etf
61355.75,58150.0,future
61355.75,57450.0,etf
61355.75,58150.0,future
61355.75,57450.0,etf
61355.75,58150.0,future
61355.75,57850.0,etf
61355.75,58150.0,future
61355.75,57750.0,etf
61355.781,58450.0,future
61355.781,57750.0,etf
61355.828,58550.0,future
61355.828,58050.0,etf
61355.859,58550.0,future
61355.859,58050.0,etf
61355.875,58550.0,future
61355.875,58050.0,etf
61355.906,58650.0,future
61355.906,58050.0,etf
61355.906,58650.0,future
61355.906,58550.0,etf
61355.906,58650.0,future
61355.906,58150.0,etf
61355.921,58450.0,future
61355.921,58150.0,etf
61355.953,58250.0,future
61355.953,58350.0,etf
61355.953,58250.0,future
61355.953,57850.0,etf
61355.968,58150.0,future
61355.968,57850.0,etf
61356.0,58150.0,future
61356.0,58300.0,etf
61356.0,58150.0,future
61356.0,58300.0,etf
61356.0,58150.0,future
61356.0,57850.0,etf
61356.015,58150.0,future
61356.015,58350.0,etf
61356.062,58150.0,future
61356.062,57950.0,etf
61356.062,58150.0,future
61356.062,58050.0,etf
61356.093,58000.0,future
61356.093,58050.0,etf
61356.125,58150.0,future
61356.125,57900.0,etf
61356.171,58250.0,future
61356.171,58050.0,etf
61356.203,58450.0,future
61356.203,58150.0,etf
61356.203,58450.0,future
61356.203,58150.0,etf
61356.203,58450.0,future
61356.203,58550.0,etf
61356.203,58450.0,future
61356.203,58350.0,etf
61356.218,58550.0,future
61356.218,58350.0,etf
61356.25,58550.0,future
61356.25,58200.0,etf
61356.25,58550.0,future
61356.25,58200.0,etf
61356.25,58550.0,future
61356.25,58350.0,etf
61356.265,58550.0,future
61356.265,58350.0,etf
61356.312,58350.0,future
61356.312,58350.0,etf
61356.312,58350.0,future
61356.312,58400.0,etf
61356.312,58350.0,future
61356.312,58150.0,etf
61356.328,58350.0,future
61356.328,58150.0,etf
61356.359,58350.0,future
61356.359,58050.0,etf
61356.359,58350.0,future
61356.359,58050.0,etf
61356.359,58350.0,future
61356.359,58050.0,etf
61356.375,58350.0,future
61356.375,58050.0,etf
61356.421,58550.0,future
61356.421,58050.0,etf
61356.453,58550.0,future
61356.453,58450.0,etf
61356.453,58550.0,future
61356.453,58500.0,etf
61356.453,58550.0,future
61356.453,58350.0,etf
61356.468,58500.0,future
61356.468,58350.0,etf
61356.5,58500.0,future
61356.5,58450.0,etf
61356.5,58500.0,future
61356.5,58450.0,etf
61356.5,58500.0,future
61356.5,58400.0,etf
61356.515,58500.0,future
61356.515,58400.0,etf
61356.562,58600.0,future
61356.562,58400.0,etf
61356.562,58600.0,future
61356.562,58550.0,etf
61356.562,58600.0,future
61356.562,58500.0,etf
61356.578,58500.0,future
61356.578,58500.0,etf
61356.609,58350.0,future
61356.609,58400.0,etf
61356.609,58350.0,future
61356.609,58450.0,etf
61356.609,58350.0,future
61356.609,58250.0,etf
61356.625,58350.0,future
61356.625,58250.0,etf
61356.656,58350.0,future
61356.656,58250.0,etf
61356.687,58650.0,future
61356.687,58250.0,etf
61356.703,58650.0,future
61356.703,58550.0,etf
61356.718,58650.0,future
61356.718,58550.0,etf
61356.75,58750.0,future
61356.75,58550.0,etf
61356.75,58750.0,future
61356.75,58550.0,etf
61356.75,58750.0,future
61356.75,58400.0,etf
61356.75,58750.0,future
61356.75,58400.0,etf
61356.75,58750.0,future
61356.75,58650.0,etf
61356.765,58750.0,future
61356.765,58650.0,etf
61356.812,58650.0,future
61356.812,58650.0,etf
61356.812,58650.0,future
61356.812,58600.0,etf
61356.812,58650.0,future
61356.812,58550.0,etf
61356.812,58650.0,future
61356.812,58550.0,etf
61356.828,58650.0,future
61356.828,58550.0,etf
61356.859,58550.0,future
61356.859,58550.0,etf
61356.859,58550.0,future
61356.859,58550.0,etf
61356.859,58550.0,future
61356.859,58550.0,etf
61356.859,58550.0,future
61356.859,58450.0,etf
61356.875,58550.0,future
61356.875,58450.0,etf
61356.906,58550.0,future
61356.906,58450.0,etf
61356.921,58550.0,future
61356.921,58450.0,etf
61356.953,58500.0,future
61356.953,58450.0,etf
61356.953,58500.0,future
61356.953,58400.0,etf
61356.953,58500.0,future
61356.953,58400.0,etf
61356.984,58550.0,future
61356.984,58400.0,etf
61357.0,58550.0,future
61357.0,58450.0,etf
61357.015,58550.0,future
61357.015,58450.0,etf
61357.062,58650.0,future
61357.062,58450.0,etf
61357.062,58650.0,future
61357.062,58450.0,etf
61357.062,58650.0,future
61357.062,58600.0,etf
61357.062,58650.0,future
61357.062,58550.0,etf
61357.078,58650.0,future
61357.078,58550.0,etf
61357.109,58650.0,future
61357.109,58550.0,etf
61357.125,58650.0,future
61357.125,58550.0,etf
61357.156,58650.0,future
61357.156,58550.0,etf
61357.187,59150.0,future
61357.187,58550.0,etf
61357.218,59200.0,future
61357.218,58650.0,etf
61357.25,59100.0,future
61357.25,58650.0,etf
61357.25,59100.0,future
61357.25,58650.0,etf
61357.25,59100.0,future
61357.25,58650.0,etf
61357.25,59100.0,future
61357.25,58650.0,etf
61357.265,59050.0,future
61357.265,58650.0,etf
61357.328,58700.0,future
61357.328,58650.0,etf
61357.328,58650.0,future
61357.328,58450.0,etf
61357.359,58650.0,future
61357.359,58450.0,etf
61357.359,58650.0,future
61357.359,58250.0,etf
61357.375,58650.0,future
61357.375,58600.0,etf
61357.406,58550.0,future
61357.406,58350.0,etf
61357.406,58550.0,future
61357.406,58250.0,etf
61357.421,58500.0,future
61357.421,58250.0,etf
61357.453,58450.0,future
61357.453,58250.0,etf
61357.453,58450.0,future
61357.453,58600.0,etf
61357.453,58450.0,future
61357.453,58600.0,etf
61357.453,58450.0,future
61357.453,58250.0,etf
61357.468,58500.0,future
61357.468,58250.0,etf
61357.5,58350.0,future
61357.5,58300.0,etf
61357.5,58350.0,future
61357.5,58300.0,etf
61357.5,58350.0,future
61357.5,58600.0,etf
61357.5,58350.0,future
61357.5,58600.0,etf
61357.5,58350.0,future
61357.5,58600.0,etf
61357.5,58350.0,future
61357.5,58600.0,etf
61357.5,58350.0,future
61357.5,58600.0,etf
61357.5,58350.0,future
61357.5,58250.0,etf
61357.515,58500.0,future
61357.515,58250.0,etf
61357.562,58900.0,future
61357.562,58450.0,etf
61357.562,58900.0,future
61357.562,58800.0,etf
61357.578,58900.0,future
61357.578,58800.0,etf
61357.609,58850.0,future
61357.609,58800.0,etf
61357.609,58850.0,future
61357.609,58750.0,etf
61357.625,58850.0,future
61357.625,58750.0,etf
61357.656,58850.0,future
61357.656,58750.0,etf
61357.671,58800.0,future
61357.671,58750.0,etf
61357.718,58650.0,future
61357.718,58700.0,etf
61357.718,58800.0,future
61357.718,58700.0,etf
61357.75,58650.0,future
61357.75,58700.0,etf
61357.75,58650.0,future
61357.75,58750.0,etf
61357.75,58650.0,future
61357.75,58550.0,etf
61357.765,58650.0,future
61357.765,58550.0,etf
61357.812,58750.0,future
61357.812,58550.0,etf
61357.812,58750.0,future
61357.812,58650.0,etf
61357.828,58800.0,future
61357.828,58650.0,etf
61357.859,58800.0,future
61357.859,58700.0,etf
61357.875,58650.0,future
61357.875,58700.0,etf
61357.906,58650.0,future
61357.906,58550.0,etf
61357.921,58600.0,future
61357.921,58550.0,etf
61357.953,58650.0,future
61357.953,58500.0,etf
61357.953,58650.0,future
61357.953,58550.0,etf
61357.968,58650.0,future
61357.968,58550.0,etf
61358.0,58650.0,future
61358.0,58550.0,etf
61358.015,58600.0,future
61358.015,58550.0,etf
61358.062,58400.0,future
61358.062,58500.0,etf
61358.062,58400.0,future
61358.062,58600.0,etf
61358.062,58400.0,future
61358.062,58300.0,etf
61358.062,58400.0,future
61358.062,58300.0,etf
61358.093,58400.0,future
61358.093,58300.0,etf
61358.109,58450.0,future
61358.109,58300.0,etf
61358.109,58450.0,future
61358.109,58350.0,etf
61358.125,58450.0,future
61358.125,58350.0,etf
61358.171,58450.0,future
61358.171,58350.0,etf
61358.203,58600.0,future
61358.203,58350.0,etf
61358.203,58600.0,future
61358.203,58700.0,etf
61358.203,58600.0,future
61358.203,58500.0,etf
61358.218,58650.0,future
61358.218,58500.0,etf
61358.265,58750.0,future
61358.265,58550.0,etf
61358.312,58750.0,future
61358.312,58650.0,etf
61358.343,58700.0,future
61358.343,58650.0,etf
61358.375,58500.0,future
61358.375,58600.0,etf
61358.421,58550.0,future
61358.421,58400.0,etf
61358.453,58550.0,future
61358.453,58350.0,etf
61358.453,58550.0,future
61358.453,58350.0,etf
61358.453,58550.0,future
61358.453,58350.0,etf
61358.484,58600.0,future
61358.484,58350.0,etf
61358.5,58600.0,future
61358.5,58400.0,etf
61358.531,58800.0,future
61358.531,58400.0,etf
61358.562,58750.0,future
61358.562,58600.0,etf
61358.562,58750.0,future
61358.562,58550.0,etf
61358.593,58800.0,future
61358.593,58550.0,etf
61358.609,58650.0,future
61358.609,58600.0,etf
61358.609,58650.0,future
61358.609,58700.0,etf
