time,price,instrument
6303.734,65950.0,future
6303.734,65850.0,etf
6303.875,65700.0,future
6303.875,65950.0,etf
6303.984,65500.0,future
6303.984,65700.0,etf
6304.109,65600.0,future
6304.109,65450.0,etf
6304.234,65300.0,future
6304.234,65500.0,etf
6304.375,65700.0,future
6304.375,65550.0,etf
6304.5,65750.0,future
6304.5,65700.0,etf
6304.625,65200.0,future
6304.625,65750.0,etf
6304.734,64800.0,future
6304.734,64550.0,etf
6304.859,65000.0,future
6304.859,64750.0,etf
6304.984,64950.0,future
6304.984,64650.0,etf
6305.125,64750.0,future
6305.125,64650.0,etf
6305.25,64700.0,future
6305.25,64550.0,etf
6305.375,64850.0,future
6305.375,64500.0,etf
6305.484,64700.0,future
6305.484,64650.0,etf
6305.609,64400.0,future
6305.609,64500.0,etf
6305.75,64100.0,future
6305.75,64200.0,etf
6305.875,64150.0,future
6305.875,64350.0,etf
6306.0,64400.0,future
6306.0,64400.0,etf
6306.125,64150.0,future
6306.125,64400.0,etf
6306.234,64150.0,future
6306.234,64150.0,etf
6306.375,64300.0,future
6306.375,64150.0,etf
6306.5,64200.0,future
6306.5,64300.0,etf
6306.609,64300.0,future
6306.609,64200.0,etf
6306.75,63900.0,future
6306.75,64250.0,etf
6306.859,63500.0,future
6306.859,64150.0,etf
6307.0,63500.0,future
6307.0,63850.0,etf
6307.109,63500.0,future
6307.109,63900.0,etf
6307.234,63650.0,future
6307.234,63750.0,etf
6307.375,63500.0,future
6307.375,63850.0,etf
6307.5,63900.0,future
6307.5,63850.0,etf
6307.609,64100.0,future
6307.609,63950.0,etf
6307.75,63650.0,future
6307.75,63950.0,etf
6307.875,63150.0,future
6307.875,63750.0,etf
6307.984,63100.0,future
6307.984,63450.0,etf
6308.109,62900.0,future
6308.109,63350.0,etf
6308.234,63050.0,future
6308.234,63350.0,etf
6308.375,63350.0,future
6308.375,63350.0,etf
6308.484,63500.0,future
6308.484,63650.0,etf
6308.625,63300.0,future
6308.625,63800.0,etf
6308.75,63450.0,future
6308.75,63600.0,etf
6308.875,64150.0,future
6308.875,63750.0,etf
6308.984,64650.0,future
6308.984,63900.0,etf
6309.109,64650.0,future
6309.109,64150.0,etf
6309.234,64850.0,future
6309.234,64500.0,etf
6309.375,64800.0,future
6309.375,64450.0,etf
6309.5,64950.0,future
6309.5,64750.0,etf
6309.625,65250.0,future
6309.625,64700.0,etf
6309.75,65300.0,future
6309.75,64750.0,etf
6309.875,65700.0,future
6309.875,64950.0,etf
6309.984,65600.0,future
6309.984,65050.0,etf
6310.109,66050.0,future
6310.109,65650.0,etf
6310.25,66250.0,future
6310.25,65950.0,etf
6310.375,65900.0,future
6310.375,65950.0,etf
6310.5,65950.0,future
6310.5,65600.0,etf
6310.625,66150.0,future
6310.625,65650.0,etf
6310.75,66000.0,future
6310.75,65850.0,etf
6310.875,66000.0,future
6310.875,65700.0,etf
6310.984,66150.0,future
6310.984,65700.0,etf
6311.125,65900.0,future
6311.125,65850.0,etf
6311.25,66000.0,future
6311.25,65600.0,etf
6311.375,66100.0,future
6311.375,65700.0,etf
6311.5,65950.0,future
6311.5,65800.0,etf
6311.625,65950.0,future
6311.625,65900.0,etf
6311.75,66100.0,future
6311.75,65750.0,etf
6311.875,66400.0,future
6311.875,65900.0,etf
6311.984,66300.0,future
6311.984,66150.0,etf
6312.109,66200.0,future
6312.109,66100.0,etf
6312.25,66150.0,future
6312.25,66000.0,etf
6312.375,66100.0,future
6312.375,66200.0,etf
6312.5,66100.0,future
6312.5,66000.0,etf
6312.625,66000.0,future
6312.625,66000.0,etf
6312.75,65900.0,future
6312.75,65900.0,etf
6312.859,65900.0,future
6312.859,65800.0,etf
6313.0,65850.0,future
6313.0,65800.0,etf
6313.109,66200.0,future
6313.109,65750.0,etf
6313.234,66600.0,future
6313.234,66100.0,etf
6313.359,66550.0,future
6313.359,66500.0,etf
6313.5,66650.0,future
6313.5,66350.0,etf
6313.625,66750.0,future
6313.625,66450.0,etf
6313.734,66550.0,future
6313.734,66550.0,etf
6313.875,66650.0,future
6313.875,66350.0,etf
6314.0,66850.0,future
6314.0,66450.0,etf
6314.109,66950.0,future
6314.109,66650.0,etf
6314.234,66700.0,future
6314.234,66550.0,etf
6314.375,66750.0,future
6314.375,66400.0,etf
6314.5,66650.0,future
6314.5,66450.0,etf
6314.625,66700.0,future
6314.625,66200.0,etf
6314.75,66650.0,future
6314.75,66650.0,etf
6314.875,66500.0,future
6314.875,66350.0,etf
6314.984,66600.0,future
6314.984,66200.0,etf
6315.125,66300.0,future
6315.125,66300.0,etf
6315.25,66500.0,future
6315.25,66000.0,etf
6315.359,66600.0,future
6315.359,66200.0,etf
6315.5,66600.0,future
6315.5,66300.0,etf
6315.625,66650.0,future
6315.625,66300.0,etf
6315.75,66550.0,future
6315.75,66350.0,etf
6315.875,66750.0,future
6315.875,66250.0,etf
6316.0,66850.0,future
6316.0,66450.0,etf
6316.125,66950.0,future
6316.125,66550.0,etf
6316.25,67000.0,future
6316.25,66650.0,etf
6316.375,67000.0,future
6316.375,66600.0,etf
6316.5,66800.0,future
6316.5,66600.0,etf
6316.625,66950.0,future
6316.625,66650.0,etf
6316.734,66850.0,future
6316.734,66950.0,etf
6316.875,67050.0,future
6316.875,66950.0,etf
6317.0,67000.0,future
6317.0,66950.0,etf
6317.125,66750.0,future
6317.125,66950.0,etf
6317.234,66700.0,future
6317.234,66950.0,etf
6317.375,66400.0,future
6317.375,66950.0,etf
6317.484,65900.0,future
6317.484,66450.0,etf
6317.625,66100.0,future
6317.625,66000.0,etf
6317.75,66050.0,future
6317.75,66200.0,etf
6317.859,66050.0,future
6317.859,66150.0,etf
6318.0,65500.0,future
6318.0,66150.0,etf
6318.125,65400.0,future
6318.125,65900.0,etf
6318.234,65650.0,future
6318.234,65950.0,etf
6318.359,65700.0,future
6318.359,65950.0,etf
6318.484,65600.0,future
6318.484,66000.0,etf
6318.625,65700.0,future
6318.625,65900.0,etf
6318.75,65700.0,future
