time,price,instrument
14505.25,71150.0,future
14505.25,71800.0,etf
14505.312,71950.0,future
14505.312,71750.0,etf
14505.437,72350.0,future
14505.437,71950.0,etf
14505.484,72750.0,future
14505.484,72050.0,etf
14505.625,73350.0,future
14505.625,72750.0,etf
14505.671,72950.0,future
14505.671,73450.0,etf
14505.703,72950.0,future
14505.703,73100.0,etf
14505.703,72950.0,future
14505.703,73100.0,etf
14505.703,72950.0,future
14505.703,73050.0,etf
14505.718,73050.0,future
14505.718,73050.0,etf
14505.75,73150.0,future
14505.75,73150.0,etf
14505.75,73150.0,future
14505.75,73150.0,etf
14505.75,73150.0,future
14505.75,72850.0,etf
14505.75,73150.0,future
14505.75,72850.0,etf
14505.765,73150.0,future
14505.765,72850.0,etf
14505.765,73150.0,future
14505.765,73150.0,etf
14505.812,73250.0,future
14505.812,73150.0,etf
14505.921,73850.0,future
14505.921,73150.0,etf
14506.015,73650.0,future
14506.015,73750.0,etf
14506.078,73900.0,future
14506.078,73650.0,etf
14506.109,73350.0,future
14506.109,73900.0,etf
14506.109,73350.0,future
14506.109,73900.0,etf
14506.109,73350.0,future
14506.109,73850.0,etf
14506.109,73350.0,future
14506.109,73350.0,etf
14506.109,73350.0,future
14506.109,73350.0,etf
14506.109,73350.0,future
14506.109,73350.0,etf
14506.109,73350.0,future
14506.125,73850.0,etf
14506.125,73450.0,future
14506.125,73450.0,etf
14506.156,73350.0,future
14506.156,73550.0,etf
14506.156,73350.0,future
14506.156,73450.0,etf
14506.187,73550.0,future
14506.187,73450.0,etf
14506.218,73500.0,future
14506.218,73350.0,etf
14506.265,73050.0,future
14506.265,73500.0,etf
14506.343,73050.0,future
14506.343,72450.0,etf
14506.375,73050.0,future
14506.375,72450.0,etf
14506.39,73150.0,future
14506.39,72750.0,etf
14506.437,73050.0,future
14506.437,73200.0,etf
14506.453,73050.0,future
14506.453,72850.0,etf
14506.468,73100.0,future
14506.468,72850.0,etf
14506.5,73050.0,future
14506.5,72900.0,etf
14506.5,73050.0,future
14506.5,72900.0,etf
14506.5,73050.0,future
14506.5,72850.0,etf
14506.515,72950.0,future
14506.515,72850.0,etf
14506.562,72850.0,future
14506.562,72750.0,etf
14506.64,72900.0,future
14506.64,72650.0,etf
14506.656,72950.0,future
14506.656,72700.0,etf
14506.656,72950.0,future
14506.656,72750.0,etf
14506.671,72950.0,future
14506.671,72750.0,etf
14506.703,72950.0,future
14506.703,72750.0,etf
14506.718,72950.0,future
14506.718,72750.0,etf
14506.75,72850.0,future
14506.75,72750.0,etf
14506.75,72850.0,future
14506.75,72650.0,etf
14506.765,72850.0,future
14506.765,72650.0,etf
14506.812,72750.0,future
14506.812,72650.0,etf
14506.859,72800.0,future
14506.859,72950.0,etf
14506.859,72800.0,future
14506.859,72700.0,etf
14506.906,72450.0,future
14506.906,72700.0,etf
14506.921,72150.0,future
14506.921,72700.0,etf
14506.953,72450.0,future
14506.953,72700.0,etf
14506.953,72450.0,future
14506.953,72700.0,etf
14506.953,72450.0,future
14506.953,72700.0,etf
14506.953,72450.0,future
14506.953,72650.0,etf
14506.953,72450.0,future
