Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,Arb-v2,Tick,0,0,0,0,,,0,0,0,OK
0.0,Default1,Tick,0,0,0,0,,,0,0,0,OK
0.0,Master-v2,Tick,0,0,0,0,,,0,0,0,OK
0.0,BidAsk-v3,Tick,0,0,0,0,,,0,0,0,OK
0.282,Arb-v2,Tick,0,0,0,0,62800,62300,0,0,0,OK
0.282,Default1,Tick,0,0,0,0,62800,62300,0,0,0,OK
0.282,Master-v2,Tick,0,0,0,0,62800,62300,0,0,0,OK
0.282,BidAsk-v3,Tick,0,0,0,0,62800,62300,0,0,0,OK
0.532,Arb-v2,Tick,0,0,0,0,62800,61400,0,0,0,OK
0.532,Default1,Tick,0,0,0,0,62800,61400,0,0,0,OK
0.532,Master-v2,Tick,0,0,0,0,62800,61400,0,0,0,OK
0.532,BidAsk-v3,Tick,0,0,0,0,62800,61400,0,0,0,OK
0.75,Arb-v2,Tick,0,100,-100,100,61800,61500,1236,11764,1764,OK
0.75,Default1,Tick,10,10,0,0,61800,61500,62,-5062,-5062,OK
0.75,Master-v2,Tick,0,85,-85,85,61800,61500,1051,7449,-1051,OK
0.75,BidAsk-v3,Tick,0,0,0,0,61800,61500,0,0,0,OK
1.032,Arb-v2,Tick,0,100,-100,100,61800,61500,1236,11764,1764,OK
1.032,Default1,Tick,10,20,-10,10,61800,61500,186,-3186,-4186,OK
1.032,Master-v2,Tick,0,95,-95,85,61800,61500,1175,625325,825,OK
1.032,BidAsk-v3,Tick,0,0,0,0,61800,61500,0,0,0,OK
1.282,Arb-v2,Tick,0,100,-100,100,61800,61500,1236,11764,1764,OK
1.282,Default1,Tick,10,20,-10,10,61800,61500,186,-3186,-4186,OK
1.282,Master-v2,Tick,0,95,-95,85,61800,61500,1175,625325,825,OK
1.282,BidAsk-v3,Tick,0,0,0,0,61800,61500,0,0,0,OK
1.5,Arb-v2,Tick,0,100,-100,100,61700,61600,1236,11764,1764,OK
1.5,Default1,Tick,10,30,-20,20,61700,61600,309,-2309,-4309,OK
1.5,Master-v2,Tick,10,95,-85,85,61700,61600,1113,8387,-113,OK
1.5,BidAsk-v3,Tick,0,0,0,0,61700,61600,0,0,0,OK
1.782,Arb-v2,Tick,0,100,-100,100,61700,61600,1236,11764,1764,OK
1.782,Default1,Tick,10,30,-20,20,61700,61600,309,-2309,-4309,OK
1.782,Master-v2,Tick,10,95,-85,85,61700,61600,1113,8387,-113,OK
1.782,BidAsk-v3,Tick,0,0,0,0,61700,61600,0,0,0,OK
2.032,Arb-v2,Tick,0,100,-100,100,61900,61600,1236,11764,1764,OK
2.032,Default1,Tick,20,30,-10,10,61900,61600,433,-4433,-5433,OK
2.032,Master-v2,Tick,20,105,-85,85,61900,61600,1175,8325,-175,OK
2.032,BidAsk-v3,Tick,0,0,0,0,61900,61600,0,0,0,OK
2.282,Arb-v2,Tick,0,100,-100,100,61900,61800,1236,11764,1764,OK
2.282,Default1,Tick,30,30,0,0,61900,61800,557,-5557,-5557,OK
2.282,Master-v2,Tick,25,105,-80,85,61900,61800,1237,-301237,-237,OK
2.282,BidAsk-v3,Tick,0,0,0,0,61900,61800,0,0,0,OK
2.532,Arb-v2,Tick,0,100,-100,100,62000,61800,1236,11764,1764,OK
2.532,Default1,Tick,30,35,-5,5,62000,61800,619,-4119,-4619,OK
2.532,Master-v2,Tick,30,105,-75,85,62000,61800,1206,-611206,-706,OK
2.532,BidAsk-v3,Tick,0,0,0,0,62000,61800,0,0,0,OK
2.75,Arb-v2,Tick,0,100,-100,100,61700,61500,1236,11764,1764,OK
2.75,Default1,Tick,30,45,-15,15,61700,61500,742,-3242,-4742,OK
2.75,Master-v2,Tick,40,105,-65,85,61700,61500,1144,-1228144,-4644,OK
2.75,BidAsk-v3,Tick,0,0,0,0,61700,61500,0,0,0,OK
3.0,Arb-v2,Tick,0,100,-100,100,61700,61600,1236,11764,1764,OK
3.0,Default1,Tick,30,45,-15,15,61700,61600,742,-3242,-4742,OK
3.0,Master-v2,Tick,40,105,-65,85,61700,61600,1144,-1228144,-2644,OK
3.0,BidAsk-v3,Tick,0,0,0,0,61700,61600,0,0,0,OK
3.282,Arb-v2,Tick,0,100,-100,100,61800,61700,1236,11764,1764,OK
3.282,Default1,Tick,40,45,-5,5,61800,61700,680,-4180,-4680,OK
3.282,Master-v2,Tick,40,115,-75,95,61800,61700,1268,-1229268,-2768,OK
3.282,BidAsk-v3,Tick,0,0,0,0,61800,61700,0,0,0,OK
3.5,Arb-v2,Tick,0,100,-100,100,61700,61700,1236,11764,11764,OK
3.5,Default1,Tick,40,55,-15,15,61700,61700,803,-1303,-1303,OK
3.5,Master-v2,Tick,50,115,-65,95,61700,61700,1206,-1846206,4794,OK
3.5,BidAsk-v3,Tick,0,0,0,0,61700,61700,0,0,0,OK
3.782,Arb-v2,Tick,0,100,-100,100,61700,61300,1236,11764,1764,OK
3.782,Default1,Tick,40,55,-15,15,61700,61300,803,-1303,-2803,OK
3.782,Master-v2,Tick,50,115,-65,95,61700,61300,1206,-1846206,-13706,OK
3.782,BidAsk-v3,Tick,0,0,0,0,61700,61300,0,0,0,OK
4.032,Arb-v2,Tick,0,100,-100,100,61700,61500,1236,11764,1764,OK
4.032,Default1,Tick,40,55,-15,15,61700,61500,803,-1303,-2803,OK
4.032,Master-v2,Tick,50,115,-65,95,61700,61500,1206,-1846206,-7706,OK
4.032,BidAsk-v3,Tick,0,0,0,0,61700,61500,0,0,0,OK
4.282,Arb-v2,Tick,0,100,-100,100,61600,61500,1236,11764,1764,OK
4.282,Default1,Tick,50,55,-5,5,61600,61500,926,-2426,-2926,OK
4.282,Master-v2,Tick,50,125,-75,95,61600,61500,1144,-1230144,-7644,OK
4.282,BidAsk-v3,Tick,0,0,0,0,61600,61500,0,0,0,OK
4.5,Arb-v2,Tick,0,100,-100,100,61600,61500,1236,11764,1764,OK
4.5,Default1,Tick,50,55,-5,5,61600,61500,926,-2426,-2926,OK
4.5,Master-v2,Tick,50,125,-75,95,61600,61500,1144,-1230144,-7644,OK
4.5,BidAsk-v3,Tick,0,0,0,0,61600,61500,0,0,0,OK
