Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
2e-06,Arb-v2,Tick,0,0,0,0,,,0,0,0,OK
2e-06,BidAsk-v1,Tick,0,0,0,0,,,0,0,0,OK
2e-06,Master-v1,Tick,0,0,0,0,,,0,0,0,OK
0.27432,Arb-v2,Tick,0,0,0,0,62800,61900,0,0,0,OK
0.27432,BidAsk-v1,Tick,0,0,0,0,62800,61900,0,0,0,OK
0.27432,Master-v1,Tick,0,0,0,0,62800,61900,0,0,0,OK
0.500393,Arb-v2,Tick,0,0,0,0,62800,61400,0,0,0,OK
0.500393,BidAsk-v1,Tick,0,0,0,0,62800,61400,0,0,0,OK
0.500393,Master-v1,Tick,0,0,0,0,62800,61400,0,0,0,OK
0.753557,Arb-v2,Tick,0,100,-100,100,61800,61500,1236,18764,8764,OK
0.753557,BidAsk-v1,Tick,0,0,0,0,61800,61500,0,0,0,OK
0.753557,Master-v1,Tick,0,95,-95,95,61800,61500,1174,17826,8326,OK
1.000629,Arb-v2,Tick,0,100,-100,100,61800,61500,1236,18764,8764,OK
1.000629,BidAsk-v1,Tick,0,0,0,0,61800,61500,0,0,0,OK
1.000629,Master-v1,Tick,0,95,-95,95,61800,61500,1174,17826,8326,OK
1.254446,Arb-v2,Tick,0,100,-100,100,61800,61500,1236,18764,8764,OK
1.254446,BidAsk-v1,Tick,0,0,0,0,61800,61500,0,0,0,OK
1.254446,Master-v1,Tick,0,95,-95,95,61800,61500,1174,17826,8326,OK
1.50195,Arb-v2,Tick,0,100,-100,100,61800,61600,1236,18764,8764,OK
1.50195,BidAsk-v1,Tick,0,0,0,0,61800,61600,0,0,0,OK
1.50195,Master-v1,Tick,0,95,-95,95,61800,61600,1174,17826,8326,OK
1.751306,Arb-v2,Tick,10,100,-90,90,61500,61600,1359,19641,28641,OK
1.751306,BidAsk-v1,Tick,0,10,-10,0,61500,61600,-62,615062,62,OK
1.751306,Master-v1,Tick,0,95,-95,95,61500,61600,1174,17826,27326,OK
2.001272,Arb-v2,Tick,10,100,-90,90,61500,61600,1359,19641,28641,OK
2.001272,BidAsk-v1,Tick,0,10,-10,0,61500,61600,-62,615062,62,OK
2.001272,Master-v1,Tick,0,95,-95,95,61500,61600,1174,17826,27326,OK
2.253602,Arb-v2,Tick,20,100,-80,80,61900,61800,1483,20517,12517,OK
2.253602,BidAsk-v1,Tick,10,20,-10,10,61900,61800,0,-6000,-7000,OK
2.253602,Master-v1,Tick,10,95,-85,95,61900,61800,1298,-601298,8202,OK
2.501278,Arb-v2,Tick,20,100,-80,80,61900,61500,1483,20517,12517,OK
2.501278,BidAsk-v1,Tick,10,20,-10,10,61900,61500,0,-6000,-7000,OK
2.501278,Master-v1,Tick,10,95,-85,95,61900,61500,1298,-601298,5202,OK
2.754294,Arb-v2,Tick,20,100,-80,80,61500,61500,1483,20517,20517,OK
2.754294,BidAsk-v1,Tick,10,30,-20,10,61500,61500,123,608877,-6123,OK
2.754294,Master-v1,Tick,20,95,-75,95,61500,61500,1236,-1216236,13764,OK
3.003234,Arb-v2,Tick,20,100,-80,80,61500,61600,1483,20517,28517,OK
3.003234,BidAsk-v1,Tick,10,30,-20,10,61500,61600,123,608877,-5123,OK
3.003234,Master-v1,Tick,20,95,-75,95,61500,61600,1236,-1216236,23264,OK
